,REF_BACEN,NU_ORDEM,DT_EMISSAO,DT_VENCIMENTO,CD_ESTADO,CD_EMPREENDIMENTO,idPrograma,idIrrigacao,CD_TIPO_AGRICULTURA,idCiclo,CD_TIPO_CULTIVO,idGrao,DT_FIM_COLHEITA,DT_FIM_PLANTIO,DT_INIC_COLHEITA,DT_INIC_PLANTIO,DT_COMUNICACAO,idCultivar,idSolo,idEvento
10883,510757529,1,01/09/2020,18/06/2021,SC,"1,20E+13",1.0,1.0,3.0,22.0,3.0,8.0,20/03/2021,10/20/2020 ,10/03/2021,10/10/2020,25/02/2021,1.0,3.0,48.0
10904,510646515,1,18/08/2020,12/08/2021,RS,"1,20E+13",1.0,1.0,3.0,22.0,0.0,8.0,10/02/2021,08/30/2020 ,25/01/2021,25/08/2020,09/11/2020,1.0,2.0,48.0
10908,507026112,1,30/07/2018,10/07/2019,MG,"1,20E+13",1.0,1.0,7.0,22.0,2.0,8.0,15/04/2019,10/15/2018 ,01/04/2019,11/10/2018,05/02/2019,3.0,3.0,48.0
10914,514411342,2,,,,,,,,,,,,,,,,,,
10937,511742787,1,24/03/2021,19/04/2022,RS,"1,20E+13",1.0,1.0,5.0,22.0,0.0,8.0,20/10/2021,07/20/2021 ,30/08/2021,01/06/2021,11/11/2021,2.0,2.0,17.0
10940,511922464,1,03/05/2021,01/03/2022,PR,"1,20E+13",1.0,1.0,3.0,22.0,0.0,8.0,05/10/2021,06/15/2021 ,02/10/2021,11/06/2021,05/10/2021,1.0,3.0,79.0
10975,510707733,1,26/08/2020,30/07/2021,RS,"1,20E+13",1.0,1.0,7.0,22.0,0.0,8.0,30/05/2021,10/30/2020 ,15/04/2021,15/09/2020,12/12/2020,3.0,9.0,48.0
10986,9903360,1,03/05/2017,20/04/2021,RS,"1,20E+13",50.0,1.0,3.0,22.0,2.0,8.0,,,,,25/10/2017,3.0,3.0,17.0
10994,513706859,1,13/04/2022,15/01/2023,SC,"1,20E+13",1.0,1.0,7.0,22.0,0.0,8.0,07/11/2022,06/30/2022 ,28/09/2022,21/05/2022,21/10/2022,1.0,3.0,17.0
11001,508898742,1,22/08/2019,17/08/2020,SC,"1,20E+13",1.0,1.0,7.0,22.0,2.0,8.0,25/05/2020,12/10/2019,25/03/2020,10/10/2019,15/01/2020,1.0,3.0,48.0
11004,512375076,1,23/07/2021,15/09/2022,PR,"1,20E+13",1.0,1.0,7.0,22.0,3.0,3.0,08/02/2022,10/06/2021,02/02/2022,30/09/2021,18/01/2022,1.0,3.0,48.0
11022,9916839,1,08/05/2017,23/02/2018,PR,"1,20E+13",999.0,1.0,3.0,22.0,2.0,8.0,05/10/2017,05/30/2017 ,10/09/2017,15/05/2017,23/08/2017,3.0,3.0,48.0
11023,512373200,1,23/07/2021,15/06/2022,SC,"1,20E+13",1.0,1.0,5.0,22.0,0.0,8.0,20/03/2022,11/30/2021 ,10/03/2022,20/11/2021,25/02/2022,1.0,2.0,48.0
11041,514335329,1,02/08/2022,01/05/2023,RS,"1,20E+13",1.0,1.0,5.0,22.0,0.0,8.0,30/01/2023,09/30/2022 ,20/01/2023,11/08/2022,18/10/2022,2.0,2.0,31.0
11056,508044787,1,14/02/2019,30/09/2019,PR,"1,20E+13",1.0,1.0,7.0,22.0,2.0,8.0,30/06/2019,03/10/2019,01/06/2019,10/02/2019,08/05/2019,99.0,3.0,48.0
11067,512587570,1,20/08/2021,15/04/2022,PR,"1,20E+13",1.0,1.0,7.0,22.0,3.0,3.0,23/01/2022,09/20/2021 ,23/01/2022,20/09/2021,13/01/2022,1.0,3.0,48.0
11068,509714439,2,30/01/2020,01/11/2020,PR,"1,20E+13",1.0,1.0,7.0,22.0,2.0,8.0,30/08/2020,02/28/2020 ,15/07/2020,06/02/2020,06/04/2020,1.0,3.0,48.0
11069,512728051,1,13/09/2021,21/11/2022,RS,"1,20E+13",50.0,1.0,7.0,22.0,0.0,8.0,30/03/2022,11/15/2021 ,01/02/2022,01/11/2021,03/12/2021,99.0,3.0,48.0
11078,509872132,1,16/03/2020,15/01/2021,RS,"1,20E+13",1.0,1.0,3.0,22.0,0.0,8.0,07/11/2020,06/30/2020 ,27/09/2020,20/05/2020,16/09/2020,1.0,3.0,24.0
